OutPut |T+1|;OutPut_class |T+1|
34.39;0
34.39;1
34.39;1
34.44;1
34.43;0
34.43;1
34.44;1
34.41;0
34.42;1
34.38;0
34.38;1
34.38;1
34.37;0
34.37;1
34.39;1
34.41;1
34.42;1
34.42;1
34.43;1
34.4;0
34.39;0
34.4;1
34.41;1
34.41;1
34.43;1
34.44;1
34.4;0
34.43;1
34.44;1
34.45;1
34.49;1
34.45;0
34.39;0
34.39;1
34.39;1
34.37;0
34.39;1
34.38;0
34.34;0
34.32;0
34.36;1
34.35;0
34.39;1
34.42;1
34.36;0
34.34;0
34.31;0
34.28;0
34.32;1
34.34;1
34.32;0
34.31;0
34.28;0
34.31;1
34.32;1
34.34;1
34.33;0
34.36;1
34.34;0
34.32;0
34.29;0
34.31;1
34.33;1
34.31;0
34.27;0
34.34;1
34.34;1
34.4;1
34.35;0
34.36;1
34.38;1
34.38;1
34.39;1
34.42;1
34.45;1
34.38;0
34.38;1
34.33;0
34.37;1
34.4;1
34.41;1
34.42;1
34.41;0
34.45;1
34.42;0
34.36;0
34.44;1
34.41;0
34.36;0
34.35;0
34.32;0
34.39;1
34.41;1
34.38;0
34.34;0
34.31;0
34.3;0
34.33;1
34.33;1
34.3;0
34.26;0
34.27;1
34.2;0
34.25;1
34.26;1
34.29;1
34.42;1
34.42;1
34.41;0
34.4;0
34.45;1
34.42;0
34.46;1
34.48;1
34.54;1
34.53;0
34.51;0
34.54;1
34.58;1
34.63;1
34.61;0
34.63;1
34.6;0
34.55;0
34.53;0
34.57;1
34.65;1
34.67;1
34.67;1
34.66;0
34.64;0
34.65;1
34.66;1
34.61;0
34.61;1
34.59;0
34.57;0
34.61;1
34.61;1
34.63;1
34.63;1
34.61;0
34.59;0
34.62;1
34.6;0
34.62;1
34.64;1
34.71;1
34.65;0
34.69;1
34.71;1
34.75;1
34.71;0
34.72;1
34.75;1
34.76;1
34.77;1
34.74;0
34.74;1
34.7;0
34.7;1
34.71;1
34.61;0
34.53;0
34.62;1
34.55;0
34.57;1
34.57;1
34.7;1
34.69;0
34.64;0
34.6;0
34.64;1
34.65;1
34.66;1
34.66;1
34.62;0
34.67;1
34.65;0
34.67;1
34.7;1
34.71;1
34.74;1
34.78;1
34.76;0
34.75;0
34.79;1
34.84;1
34.84;1
35.24;1
35.09;0
35.07;0
35.06;0
35.08;1
35.08;1
35.08;1
35.11;1
35.07;0
35.06;0
35.04;0
35.07;1
35.07;1
35.06;0
35.12;1
35.08;0
35.08;1
35.12;1
35.13;1
35.13;1
35.14;1
35.14;1
35.14;1
35.12;0
35.11;0
35.09;0
35.07;0
35.09;1
35.09;1
35.11;1
35.12;1
35.14;1
35.14;1
35.14;1
35.13;0
35.14;1
35.09;0
35.13;1
35.15;1
35.14;0
35.16;1
35.15;0
35.09;0
35.11;1
35.12;1
35.12;1
35.13;1
35.13;1
35.13;1
35.12;0
35.17;1
35.15;0
35.15;1
35.11;0
35.13;1
35.13;1
35.16;1
35.15;0
35.13;0
35.13;1
35.1;0
35.09;0
35.04;0
35.06;1
35.08;1
35.08;1
35.02;0
34.99;0
35.03;1
35.01;0
35.02;1
35.01;0
35.02;1
35.05;1
35.03;0
35.01;0
35.03;1
35.0;0
34.99;0
34.97;0
35.0;1
34.98;0
35.02;1
35.03;1
35.06;1
35.03;0
35.01;0
35.0;0
34.97;0
34.94;0
34.94;1
34.93;0
34.92;0
34.89;0
34.89;1
34.9;1
34.92;1
34.9;0
34.9;1
34.89;0
34.93;1
34.93;1
34.92;0
34.92;1
34.91;0
34.92;1
34.92;1
34.91;0
34.9;0
34.91;1
34.9;0
34.9;1
34.91;1
34.89;0
34.95;1
34.94;0
34.89;0
34.88;0
34.88;1
34.88;1
34.91;1
34.92;1
34.93;1
34.93;1
34.95;1
34.94;0
34.95;1
34.94;0
34.93;0
34.94;1
34.95;1
34.94;0
34.95;1
34.95;1
34.95;1
34.93;0
34.92;0
34.92;1
34.92;1
34.93;1
34.89;0
34.88;0
34.87;0
34.87;1
34.9;1
34.89;0
34.86;0
34.83;0
34.83;1
34.84;1
34.86;1
34.81;0
34.84;1
34.83;0
34.83;1
34.82;0
34.77;0
34.79;1
34.83;1
34.84;1
34.83;0
34.81;0
34.81;1
34.8;0
34.81;1
34.83;1
34.86;1
34.89;1
34.89;1
34.88;0
34.88;1
34.86;0
34.92;1
34.92;1
34.93;1
34.91;0
34.91;1
34.91;1
34.91;1
34.92;1
34.92;1
34.91;0
34.92;1
34.95;1
34.91;0
34.97;1
34.97;1
35.01;1
35.0;0
35.0;1
34.95;0
34.91;0
34.94;1
34.95;1
34.94;0
34.94;1
34.95;1
34.94;0
34.95;1
34.97;1
34.98;1
34.98;1
34.97;0
34.99;1
34.99;1
34.98;0
34.96;0
34.9;0
34.9;1
34.94;1
34.92;0
34.97;1
34.99;1
34.99;1
34.98;0
35.02;1
35.02;1
35.01;0
35.02;1
35.06;1
35.07;1
35.07;1
35.05;0
35.04;0
35.08;1
35.04;0
35.04;1
35.04;1
35.01;0
35.0;0
35.01;1
35.04;1
35.04;1
35.06;1
35.04;0
35.02;0
35.01;0
35.01;1
35.02;1
35.03;1
35.02;0
35.02;1
35.03;1
35.01;0
35.03;1
35.02;0
35.01;0
35.0;0
35.0;1
35.01;1
35.06;1
35.11;1
35.13;1
35.13;1
35.1;0
35.08;0
35.1;1
35.13;1
35.16;1
35.15;0
35.14;0
35.1;0
35.11;1
35.06;0
35.01;0
34.98;0
35.0;1
34.99;0
34.98;0
34.92;0
34.88;0
34.94;1
34.96;1
34.96;1
35.01;1
35.05;1
35.03;0
35.0;0
35.0;1
35.0;1
35.02;1
35.05;1
35.01;0
35.0;0
34.99;0
35.01;1
35.03;1
35.07;1
35.07;1
35.08;1
35.12;1
35.12;1
35.14;1
35.15;1
35.16;1
35.15;0
35.22;1
35.22;1
35.26;1
35.27;1
35.24;0
35.25;1
35.25;1
35.28;1
35.21;0
35.2;0
35.21;1
35.23;1
35.25;1
35.25;1
35.26;1
35.27;1
35.23;0
35.23;1
35.26;1
35.29;1
35.28;0
35.29;1
35.27;0
35.24;0
35.27;1
35.24;0
35.29;1
35.3;1
35.24;0
35.22;0
35.24;1
35.27;1
35.26;0
35.23;0
35.26;1
35.3;1
35.3;1
35.31;1
35.32;1
35.34;1
35.37;1
35.32;0
35.31;0
35.28;0
35.26;0
35.25;0
35.19;0
35.12;0
35.2;1
35.1;0
35.08;0
35.04;0
35.08;1
35.07;0
35.1;1
35.2;1
35.26;1
35.23;0
35.2;0
35.21;1
35.24;1
35.22;0
35.23;1
35.16;0
35.07;0
35.09;1
35.14;1
35.13;0
35.15;1
35.14;0
35.05;0
35.03;0
35.05;1
35.02;0
35.09;1
35.17;1
35.15;0
35.14;0
35.19;1
35.22;1
35.19;0
35.08;0
35.11;1
35.1;0
35.14;1
35.07;0
35.15;1
35.01;0
34.99;0
35.05;1
35.18;1
35.25;1
35.3;1
35.26;0
35.35;1
35.36;1
35.37;1
35.35;0
35.35;1
35.42;1
35.42;1
35.38;0
35.38;1
35.45;1
35.49;1
35.46;0
35.42;0
35.44;1
35.48;1
35.46;0
35.42;0
35.28;0
35.65;1
35.68;1
35.6;0
35.62;1
35.68;1
35.66;0
35.68;1
35.68;1
35.66;0
35.66;1
35.64;0
35.67;1
35.67;1
35.67;1
35.66;0
35.65;0
35.65;1
35.68;1
35.7;1
35.69;0
35.69;1
35.72;1
35.66;0
35.69;1
35.71;1
35.7;0
35.7;1
35.7;1
35.72;1
35.71;0
35.75;1
35.76;1
35.77;1
35.73;0
35.8;1
35.81;1
35.8;0
35.81;1
35.8;0
35.79;0
35.74;0
35.8;1
35.79;0
35.8;1
35.8;1
35.8;1
35.8;1
35.8;1
35.79;0
35.77;0
35.79;1
35.78;0
35.78;1
35.74;0
35.73;0
35.74;1
35.77;1
35.77;1
35.79;1
35.77;0
35.76;0
35.74;0
35.76;1
35.76;1
35.74;0
35.72;0
35.68;0
35.69;1
35.68;0
35.71;1
35.71;1
35.71;1
35.7;0
35.68;0
35.66;0
35.64;0
35.6;0
35.59;0
35.58;0
35.58;1
35.59;1
35.62;1
35.58;0
35.59;1
35.59;1
35.59;1
35.54;0
35.58;1
35.62;1
35.6;0
35.66;1
35.68;1
35.68;1
35.7;1
35.69;0
35.69;1
35.69;1
35.69;1
35.72;1
35.69;0
35.69;1
35.71;1
35.72;1
35.71;0
35.74;1
35.7;0
35.7;1
35.67;0
35.76;1
35.77;1
35.75;0
35.73;0
35.77;1
35.76;0
35.76;1
35.76;1
35.76;1
35.71;0
35.75;1
35.8;1
35.79;0
35.82;1
35.82;1
35.81;0
35.82;1
35.78;0
35.82;1
35.83;1
35.82;0
35.82;1
35.81;0
35.81;1
35.81;1
35.81;1
35.81;1
35.81;1
35.81;1
35.78;0
35.78;1
35.77;0
35.8;1
35.81;1
35.83;1
35.81;0
35.82;1
35.81;0
35.81;1
35.78;0
35.78;1
35.77;0
35.78;1
35.78;1
35.78;1
35.79;1
35.81;1
35.8;0
35.78;0
35.77;0
35.78;1
35.78;1
35.75;0
35.73;0
35.76;1
35.77;1
35.8;1
35.76;0
35.73;0
35.74;1
35.75;1
35.79;1
35.74;0
35.72;0
35.74;1
35.79;1
35.8;1
35.82;1
35.8;0
35.82;1
35.8;0
35.76;0
35.76;1
35.75;0
35.81;1
35.79;0
35.8;1
35.79;0
35.77;0
35.77;1
35.77;1
35.74;0
35.77;1
35.8;1
35.79;0
35.78;0
35.77;0
35.8;1
35.79;0
35.81;1
35.79;0
35.8;1
35.79;0
35.82;1
35.83;1
35.82;0
35.82;1
35.8;0
35.8;1
35.78;0
35.76;0
35.76;1
35.75;0
35.76;1
35.69;0
35.71;1
35.73;1
35.7;0
35.71;1
35.72;1
35.72;1
35.7;0
35.7;1
35.66;0
35.65;0
35.64;0
35.65;1
35.67;1
35.65;0
35.65;1
35.63;0
35.62;0
35.62;1
35.62;1
35.62;1
35.64;1
35.61;0
35.56;0
35.63;1
35.6;0
35.6;1
35.6;1
35.62;1
35.61;0
35.59;0
35.54;0
35.55;1
35.53;0
35.55;1
35.58;1
35.56;0
35.61;1
35.62;1
35.62;1
35.62;1
35.56;0
35.55;0
35.58;1
35.54;0
35.56;1
35.51;0
35.53;1
35.51;0
35.46;0
35.44;0
35.42;0
35.4;0
35.4;1
35.39;0
35.4;1
35.35;0
35.31;0
35.25;0
35.32;1
35.31;0
35.32;1
35.3;0
35.29;0
35.28;0
35.26;0
35.23;0
35.22;0
35.22;1
35.25;1
35.23;0
35.22;0
35.22;1
35.22;1
35.24;1
35.28;1
35.28;1
35.26;0
35.24;0
35.29;1
35.33;1
35.37;1
35.36;0
35.29;0
35.29;1
35.29;1
35.29;1
35.33;1
35.34;1
35.39;1
35.39;1
35.3;0
35.31;1
35.35;1
35.37;1
35.42;1
35.41;0
35.37;0
35.34;0
35.3;0
35.31;1
35.39;1
35.38;0
35.4;1
35.3;0
35.32;1
35.31;0
35.29;0
35.36;1
35.36;1
35.36;1
35.37;1
35.36;0
35.38;1
35.3;0
35.33;1
35.33;1
35.24;0
35.25;1
35.26;1
35.21;0
35.18;0
35.23;1
35.18;0
35.19;1
35.14;0
35.16;1
35.16;1
35.07;0
34.99;0
35.07;1
35.1;1
35.08;0
35.03;0
35.05;1
35.01;0
35.01;1
35.04;1
35.12;1
35.12;1
35.14;1
35.1;0
35.1;1
35.13;1
35.12;0
35.13;1
35.1;0
35.1;1
35.12;1
35.18;1
35.19;1
35.17;0
35.14;0
35.11;0
35.14;1
35.16;1
35.13;0
35.11;0
35.06;0
35.02;0
35.07;1
35.05;0
35.03;0
35.0;0
35.06;1
35.02;0
35.14;1
35.17;1
35.23;1
35.25;1
35.25;1
35.26;1
35.24;0
35.03;0
34.9;0
34.84;0
34.9;1
34.8;0
34.79;0
34.78;0
34.8;1
34.85;1
34.84;0
34.88;1
34.96;1
35.04;1
35.04;1
35.06;1
35.07;1
35.11;1
35.0;0
34.87;0
34.83;0
34.75;0
34.66;0
34.74;1
34.77;1
34.2;0
34.31;1
34.23;0
34.24;1
34.22;0
34.23;1
34.23;1
34.23;1
34.22;0
34.22;1
34.2;0
34.2;1
34.16;0
34.14;0
34.15;1
34.13;0
34.13;1
34.16;1
34.13;0
34.16;1
34.13;0
34.13;1
34.14;1
34.13;0
34.17;1
34.15;0
34.09;0
34.11;1
34.15;1
34.17;1
34.15;0
34.15;1
34.15;1
34.15;1
34.13;0
34.13;1
34.12;0
34.12;1
34.12;1
34.13;1
34.13;1
34.17;1
34.18;1
34.16;0
34.14;0
34.13;0
34.16;1
34.16;1
34.16;1
34.13;0
34.16;1
34.11;0
34.11;1
34.1;0
34.09;0
34.14;1
34.15;1
34.13;0
34.12;0
34.12;1
34.13;1
34.13;1
34.16;1
34.14;0
34.17;1
34.17;1
34.19;1
34.19;1
34.2;1
34.2;1
34.18;0
34.2;1
34.19;0
34.16;0
34.19;1
34.23;1
34.23;1
34.26;1
34.22;0
34.23;1
34.31;1
34.27;0
34.27;1
34.28;1
34.29;1
34.31;1
34.3;0
34.3;1
34.3;1
34.28;0
34.26;0
34.25;0
34.23;0
34.27;1
34.29;1
34.29;1
34.32;1
34.24;0
34.27;1
34.3;1
34.31;1
34.3;0
34.28;0
34.32;1
34.32;1
34.3;0
34.29;0
34.26;0
34.27;1
34.25;0
34.28;1
34.29;1
34.29;1
34.28;0
34.28;1
34.31;1
34.28;0
34.3;1
34.35;1
34.37;1
34.34;0
34.33;0
34.34;1
34.31;0
34.33;1
34.31;0
34.33;1
34.33;1
34.36;1
34.35;0
34.38;1
34.37;0
34.37;1
34.38;1
34.36;0
34.36;1
34.32;0
34.31;0
34.27;0
34.28;1
34.27;0
34.29;1
34.31;1
34.32;1
34.27;0
34.27;1
34.26;0
34.28;1
34.27;0
34.25;0
34.25;1
34.26;1
34.23;0
34.26;1
34.21;0
34.22;1
34.23;1
34.23;1
34.24;1
34.17;0
34.19;1
34.17;0
34.23;1
34.22;0
34.24;1
34.22;0
34.22;1
34.2;0
34.21;1
34.21;1
34.19;0
34.21;1
34.24;1
34.22;0
34.21;0
34.19;0
34.22;1
34.18;0
34.16;0
34.16;1
34.19;1
34.17;0
34.23;1
34.23;1
34.17;0
34.19;1
34.22;1
34.22;1
34.21;0
34.18;0
34.15;0
34.14;0
34.18;1
34.15;0
34.15;1
34.15;1
34.13;0
34.19;1
34.16;0
34.14;0
34.16;1
34.12;0
34.12;1
34.18;1
34.17;0
34.18;1
34.16;0
34.08;0
34.08;1
34.04;0
34.0;0
33.98;0
34.03;1
34.02;0
33.96;0
33.98;1
33.97;0
33.98;1
33.97;0
33.96;0
33.96;1
33.98;1
33.97;0
33.92;0
33.95;1
33.96;1
33.95;0
33.92;0
33.94;1
33.94;1
33.98;1
33.99;1
33.92;0
33.9;0
33.94;1
33.94;1
33.95;1
33.96;1
33.95;0
33.95;1
33.98;1
33.95;0
33.94;0
33.89;0
33.87;0
33.9;1
33.88;0
33.87;0
33.85;0
33.86;1
33.84;0
33.75;0
33.8;1
33.82;1
33.81;0
33.82;1
33.79;0
33.79;1
33.78;0
33.81;1
33.8;0
33.78;0
33.8;1
33.79;0
33.81;1
33.81;1
33.75;0
33.74;0
33.67;0
33.67;1
33.7;1
33.65;0
33.67;1
33.75;1
33.76;1
33.77;1
33.76;0
33.76;1
33.78;1
33.73;0
33.77;1
33.8;1
33.79;0
33.74;0
33.67;0
33.72;1
33.73;1
33.73;1
33.71;0
33.73;1
33.71;0
33.7;0
33.71;1
33.69;0
33.67;0
33.62;0
33.6;0
33.57;0
33.57;1
33.6;1
33.67;1
33.64;0
33.64;1
33.63;0
33.58;0
33.57;0
33.55;0
33.57;1
33.6;1
33.55;0
33.6;1
33.55;0
33.55;1
33.53;0
33.53;1
33.51;0
33.47;0
33.48;1
33.54;1
33.58;1
33.59;1
33.59;1
33.61;1
33.57;0
33.48;0
33.54;1
33.56;1
33.53;0
33.52;0
33.55;1
33.55;1
33.56;1
33.58;1
33.62;1
33.63;1
33.65;1
33.59;0
33.63;1
33.65;1
33.63;0
33.63;1
33.61;0
33.67;1
33.66;0
33.68;1
33.66;0
33.65;0
33.68;1
33.65;0
33.65;1
33.69;1
33.72;1
33.69;0
33.8;1
33.79;0
33.81;1
33.75;0
33.75;1
33.76;1
33.74;0
33.79;1
33.83;1
33.73;0
33.64;0
33.62;0
33.62;1
33.64;1
33.68;1
33.73;1
33.75;1
33.72;0
33.67;0
33.75;1
33.75;1
33.75;1
33.75;1
33.81;1
33.79;0
33.79;1
33.85;1
33.81;0
33.88;1
33.89;1
33.88;0
33.92;1
33.98;1
34.05;1
34.09;1
34.1;1
34.13;1
34.14;1
34.16;1
34.13;0
34.13;1
34.08;0
34.04;0
34.04;1
34.07;1
34.05;0
34.1;1
34.09;0
34.11;1
34.11;1
34.14;1
34.17;1
34.15;0
34.13;0
34.15;1
34.12;0
34.12;1
34.14;1
34.12;0
34.0;0
34.17;1
34.22;1
34.2;0
34.19;0
34.18;0
34.19;1
34.18;0
34.15;0
34.13;0
34.21;1
34.23;1
34.22;0
34.21;0
34.19;0
34.18;0
34.16;0
34.14;0
34.15;1
34.14;0
34.15;1
34.12;0
34.12;1
34.12;1
34.13;1
34.11;0
34.13;1
34.11;0
34.12;1
34.08;0
34.1;1
34.14;1
34.1;0
34.11;1
34.09;0
34.08;0
34.07;0
34.08;1
34.07;0
34.08;1
34.06;0
34.09;1
34.08;0
34.08;1
34.08;1
34.08;1
34.09;1
34.08;0
34.08;1
34.08;1
34.05;0
34.09;1
34.08;0
34.1;1
34.06;0
34.09;1
34.08;0
34.08;1
34.09;1
34.05;0
34.05;1
34.08;1
34.08;1
34.08;1
34.07;0
34.06;0
34.1;1
34.09;0
34.09;1
34.07;0
34.07;1
34.07;1
34.05;0
34.08;1
34.09;1
34.1;1
34.14;1
34.15;1
34.14;0
34.13;0
34.13;1
34.13;1
34.13;1
34.12;0
34.11;0
34.1;0
34.09;0
34.08;0
34.08;1
34.08;1
34.1;1
34.09;0
34.07;0
34.07;1
34.07;1
34.05;0
34.1;1
34.11;1
34.11;1
34.1;0
34.1;1
34.1;1
34.09;0
34.07;0
34.06;0
34.07;1
34.1;1
34.12;1
34.07;0
34.07;1
34.07;1
34.08;1
34.09;1
34.09;1
34.1;1
34.1;1
34.1;1
34.09;0
34.07;0
34.09;1
34.09;1
34.09;1
34.08;0
34.07;0
34.06;0
34.03;0
34.1;1
34.11;1
34.11;1
34.13;1
34.13;1
34.16;1
34.16;1
34.17;1
34.17;1
34.17;1
34.17;1
34.17;1
34.18;1
34.19;1
34.19;1
34.17;0
34.15;0
34.14;0
34.14;1
34.14;1
34.15;1
34.15;1
34.13;0
34.13;1
34.15;1
34.17;1
34.16;0
34.16;1
34.15;0
34.14;0
34.15;1
34.16;1
34.15;0
34.15;1
34.19;1
34.17;0
34.16;0
34.16;1
34.19;1
34.16;0
34.19;1
34.21;1
34.19;0
34.17;0
34.18;1
34.21;1
34.19;0
34.22;1
34.18;0
34.17;0
34.14;0
34.13;0
34.13;1
34.12;0
34.11;0
34.11;1
34.11;1
34.12;1
34.11;0
34.11;1
34.13;1
34.15;1
34.14;0
34.13;0
34.13;1
34.12;0
34.12;1
34.12;1
34.11;0
34.11;1
34.12;1
34.13;1
34.09;0
34.08;0
34.09;1
34.12;1
34.11;0
34.11;1
34.12;1
34.11;0
34.1;0
34.11;1
34.08;0
34.07;0
34.08;1
34.06;0
34.07;1
34.07;1
34.09;1
34.08;0
34.08;1
34.08;1
34.09;1
34.08;0
34.07;0
34.06;0
34.06;1
34.06;1
34.05;0
34.03;0
34.03;1
34.02;0
34.06;1
34.05;0
34.04;0
34.04;1
34.03;0
34.02;0
34.03;1
34.02;0
34.02;1
34.03;1
34.05;1
34.06;1
34.05;0
34.05;1
34.05;1
34.07;1
34.05;0
34.02;0
34.02;1
34.02;1
34.0;0
34.01;1
34.02;1
33.98;0
33.97;0
33.95;0
33.96;1
33.97;1
33.97;1
33.94;0
33.95;1
33.95;1
33.96;1
33.95;0
33.96;1
33.92;0
33.93;1
33.9;0
33.95;1
33.95;1
33.95;1
33.92;0
33.99;1
33.95;0
33.88;0
33.92;1
33.95;1
33.98;1
34.02;1
33.95;0
33.95;1
33.95;1
33.95;1
34.0;1
34.02;1
34.0;0
34.0;1
34.0;1
34.01;1
34.01;1
34.01;1
33.95;0
33.95;1
33.96;1
33.97;1
33.98;1
33.99;1
33.98;0
33.97;0
33.96;0
33.96;1
33.96;1
33.96;1
33.96;1
33.97;1
34.01;1
34.0;0
33.99;0
34.06;1
34.07;1
34.0;0
34.03;1
33.96;0
33.92;0
33.87;0
33.85;0
33.85;1
33.81;0
33.78;0
33.76;0
33.75;0
33.75;1
33.76;1
33.75;0
33.7;0
33.74;1
33.71;0
33.71;1
33.67;0
33.68;1
33.69;1
33.7;1
33.71;1
33.64;0
33.64;1
33.64;1
33.63;0
33.63;1
33.59;0
33.58;0
33.57;0
33.63;1
33.64;1
33.59;0
33.59;1
33.59;1
33.58;0
33.59;1
33.6;1
33.63;1
33.59;0
33.56;0
33.57;1
33.58;1
33.57;0
33.56;0
33.57;1
33.56;0
33.53;0
33.54;1
33.53;0
33.53;1
33.54;1
33.57;1
33.56;0
33.58;1
33.57;0
33.56;0
33.54;0
33.54;1
33.54;1
33.51;0
33.55;1
33.55;1
33.54;0
33.49;0
33.48;0
33.48;1
33.47;0
33.46;0
33.47;1
33.48;1
33.48;1
33.51;1
33.48;0
33.52;1
33.47;0
33.46;0
33.47;1
33.47;1
33.47;1
33.47;1
33.48;1
33.43;0
33.43;1
33.4;0
33.46;1
33.46;1
33.45;0
33.42;0
33.41;0
33.43;1
33.46;1
33.52;1
33.52;1
33.54;1
33.5;0
33.45;0
33.42;0
33.37;0
33.32;0
33.49;1
33.39;0
33.43;1
33.44;1
33.43;0
33.43;1
33.41;0
33.43;1
33.43;1
33.43;1
33.38;0
33.42;1
33.4;0
33.45;1
33.46;1
33.46;1
33.46;1
33.45;0
33.46;1
33.45;0
33.37;0
33.38;1
33.36;0
33.39;1
33.39;1
33.4;1
33.38;0
33.38;1
33.39;1
33.39;1
33.42;1
33.41;0
33.4;0
33.44;1
33.4;0
33.41;1
33.43;1
33.44;1
33.45;1
33.45;1
33.44;0
33.44;1
33.44;1
33.42;0
33.36;0
33.36;1
33.38;1
33.38;1
33.4;1
33.38;0
33.38;1
33.42;1
33.42;1
33.41;0
33.4;0
33.42;1
33.43;1
33.41;0
33.41;1
33.42;1
33.4;0
33.42;1
33.42;1
33.41;0
33.42;1
33.41;0
33.43;1
33.41;0
33.41;1
33.41;1
33.41;1
33.42;1
33.44;1
33.44;1
33.44;1
33.41;0
33.41;1
33.41;1
33.39;0
33.38;0
33.37;0
33.38;1
33.38;1
33.37;0
33.35;0
33.35;1
33.34;0
33.33;0
33.35;1
33.35;1
33.34;0
33.33;0
33.32;0
33.3;0
33.27;0
33.28;1
33.3;1
33.32;1
33.3;0
33.28;0
33.32;1
33.28;0
33.28;1
33.32;1
33.32;1
33.34;1
33.34;1
33.35;1
33.34;0
33.34;1
33.38;1
33.38;1
33.36;0
33.39;1
33.36;0
33.37;1
33.35;0
33.38;1
33.37;0
33.37;1
33.35;0
33.34;0
33.34;1
33.36;1
33.36;1
33.3;0
